date,equity,cash,portfolio_value
2023-06-01,1128290.6073049207,592220.3762609094,
2023-06-02,1125956.621866127,591113.6035143485,
2023-06-05,1130022.1444544075,56227.87457988656,
2023-06-06,1110990.8798532584,55490.87180619183,
2023-06-07,1113858.2369114244,55628.42822053039,
2023-06-08,1114626.8180748706,55672.35288023272,
2023-06-09,1131369.0181234765,56464.41215062498,
2023-06-12,1126592.7919186554,56235.217182072374,
2023-06-13,1135527.1432736225,596003.7678425797,
2023-06-14,1136778.003365872,596779.1175135054,
2023-06-15,1136535.979053478,596629.761729615,
2023-06-16,1144767.8017592528,56947.386500436,
2023-06-19,1152477.1947333144,57480.64604254,
2023-06-20,1155031.7750013198,57627.83607844288,
2023-06-21,1131062.7939624104,56438.842212968535,
2023-06-26,1108819.7334856268,55335.62224873554,
2023-06-27,1118264.1250547846,55787.23053605502,
2023-06-28,1113000.9168891483,55531.468294556835,
2023-06-29,1115326.3088124457,55691.52967654474,
2023-06-30,1119713.7988552735,55886.722265258504,
2023-07-03,1126468.6226366097,56236.85415615424,
2023-07-04,1128815.8623320719,56330.33555144424,
2023-07-05,1117991.5135880373,55791.6957347702,
2023-07-06,1115829.9549939677,55676.86020396107,
2023-07-07,1115189.876222357,55677.74207546584,
2023-07-10,1111861.7938832904,55518.728510924906,
2023-07-11,1119909.9474593927,55886.62910108498,
2023-07-12,1106840.0691671674,55223.85130389304,
2023-07-13,1123551.5556743252,56084.21333995889,
2023-07-14,1126804.449873993,56230.80556614087,
2023-07-17,1123464.0231672481,56065.08675714252,
2023-07-18,1117882.045982707,55769.7495039534,
2023-07-19,1117492.8523282134,586552.771083058,
2023-07-20,1105802.8838647725,580527.7091592528,
2023-07-21,1103065.65719865,579070.3043166987,
2023-07-24,1103914.5686375732,579534.3244874997,
2023-07-25,1113956.8825235444,584805.2918764766,
2023-07-26,1108827.9849929714,55127.0220859088,
2023-07-27,1104875.1635074215,55137.42946801522,
2023-07-28,1128566.9579346408,56324.93651381336,
2023-07-31,1132046.4443202103,56406.74044591718,
2023-08-01,1129241.4592872348,56310.612116279604,
2023-08-02,1125747.0015540046,56163.806995667896,
2023-08-03,1133916.038675181,56551.185784508154,
2023-08-04,1139072.0856376083,56859.48318267682,
2023-08-07,1133961.206887748,56606.34391696428,
2023-08-08,1127909.2248841748,56337.89198757791,
2023-08-09,1117049.65268936,55736.34805575057,
2023-08-10,1121516.167262929,55968.13155790775,
2023-08-11,1094707.7074595015,54647.04641635585,
2023-08-14,1092504.8239198555,54544.59457604063,
2023-08-15,1087814.7596936133,54277.750384127154,
2023-08-16,1074670.058787986,53630.17089206287,
2023-08-17,1079911.9574541722,53892.31235598304,
2023-08-18,1065114.7761838608,53168.3780097913,
2023-08-21,1054739.7992327544,52634.346009584435,
2023-08-22,1072238.7780010349,53548.27320188806,
2023-08-23,1053401.4894034795,52576.768709339376,
2023-08-24,1056588.2901700484,52755.9491708102,
2023-08-25,1047557.3943548137,52235.96892806713,
2023-08-28,1059469.85472131,556085.8477019337,
2023-08-29,1065944.4143524258,559588.4969347463,
2023-08-30,1065768.9864109864,53011.19712088304,
2023-08-31,1059453.0485129692,52855.152767064224,
2023-09-01,1067332.4530255422,560219.7092822178,
2023-09-04,1073454.8394205815,563533.8294882599,
2023-09-05,1068230.5856185267,53141.41042954603,
2023-09-06,1065872.3276283974,53191.07343570933,
2023-09-07,1052682.2670295693,52517.17722036275,
2023-09-08,1050880.3233105391,52443.51735018486,
2023-09-11,1057781.9640301694,555206.8788311345,
2023-09-12,1055473.1891849663,554097.2473137049,
2023-09-13,1051761.1660535312,552141.5389155357,
2023-09-14,1053033.6245288956,552816.068733942,
2023-09-15,1050680.5337678003,551581.2215328388,
2023-09-18,1052113.1514848475,552335.4562061984,
2023-09-19,1053130.357599304,552871.9927340171,
2023-09-20,1050871.595765183,551690.7699948311,
2023-09-21,1047390.7267479245,549858.5581565502,
2023-09-22,1051384.0533122334,551963.5181953802,
2023-09-25,1050257.1156819845,551351.8502838984,
2023-09-26,1048160.9098919979,550244.7510221693,
2023-09-27,1048470.4286166988,550418.5080750562,
2023-09-28,1047342.347259766,549824.0943859426,
2023-10-09,1047718.4040363347,550027.7673708291,
2023-10-10,1044860.1802069525,548514.0004343406,
2023-10-11,1046114.9614798053,549185.9362743736,
2023-10-12,1048536.6510295622,550450.6466418136,
2023-10-13,1046138.5451418392,549193.8764919899,
2023-10-16,1044061.2933513513,548103.9893364563,
2023-10-17,1047609.665003452,549973.3459949637,
2023-10-18,1045941.0170416111,549101.9378763826,
2023-10-19,1036305.1728079177,544045.1875192719,
2023-10-20,1031930.6268907265,541748.914906688,
2023-10-23,1026469.6970976337,538879.3656500943,
2023-10-24,1028997.0253753696,540201.3186815619,
2023-10-25,1029804.8183112373,540618.4770207513,
2023-10-26,1030708.3187657029,541089.1850697524,
2023-10-27,1034398.5849949308,543037.0759286273,
2023-10-30,1036391.5806547512,51564.27521611715,
2023-10-31,1035254.7034091015,543362.6380466036,
2023-11-01,1032334.6608343159,541950.0321840493,
2023-11-02,1029857.7424291868,540658.6138484685,
2023-11-03,1033006.7434447512,542309.2604286709,
2023-11-06,1036281.4606852594,51558.31641530432,
2023-11-07,1035381.0577301967,51599.37822916705,
2023-11-08,1034657.5859591746,51633.68051272839,
2023-11-09,1033863.6219512009,51584.97734728284,
2023-11-10,1033403.9755340378,51594.25278310463,
2023-11-13,1034901.5466386506,543197.5102562663,
2023-11-14,1036773.7875427741,51596.262719051505,
2023-11-15,1041161.2855553443,51990.56168951934,
2023-11-16,1031453.3667496905,541381.0531423328,
2023-11-17,1035015.1021589705,543368.1339843675,
2023-11-20,1035424.5979901263,543585.0536848301,
2023-11-21,1032422.1964936041,542000.3350289096,
2023-11-22,1026474.1670126171,538877.6527390601,
2023-11-23,1031722.163468008,541632.7916515263,
2023-11-24,1027596.2525592279,539468.5664007836,
2023-11-27,1029445.7595938623,540437.4030498961,
2023-11-28,1031904.1100501731,541725.865852994,
2023-11-29,1031570.5453113096,541555.3407690137,
2023-11-30,1032733.656796143,542156.9945556555,
2023-12-01,1033301.097859648,542465.8129554436,
2023-12-04,1032804.2340496775,542202.8525062598,
2023-12-05,1024750.2754179836,537968.2511140375,
2023-12-06,1024637.3635345194,537911.3349581013,
2023-12-07,1026170.7738998875,538718.2657753391,
2023-12-08,1031986.985521952,541777.4676088184,
2023-12-11,1037938.937797946,544902.6828597854,
2023-12-12,1038262.7072468135,545068.3102346438,
2023-12-13,1035243.7138353465,543481.4604593745,
2023-12-14,1032514.1962569136,542057.6179663299,
2023-12-15,1028255.3050857778,539819.3277298996,
2023-12-18,1028222.2473115971,539799.7154170269,
2023-12-19,1029486.381385884,540456.7822868983,
2023-12-20,1023144.2547619322,537137.9844422006,
2023-12-21,1026466.8157233002,538880.487754319,
2023-12-22,1022987.0620110137,537051.2104683202,
2023-12-25,1024630.6768144909,537909.5282426456,
2023-12-26,1020323.3158040356,50767.10510885512,
2023-12-27,1027471.0343356502,51313.66640727277,
2023-12-28,1032995.9539042669,51570.27123838705,
2023-12-29,1044044.5398321638,52046.308160388086,
2024-01-02,1037289.8945276517,51769.62298196535,
2024-01-03,1031318.271603877,51427.318708901905,
2024-01-04,1023412.882187847,51079.69099341796,
2024-01-05,1012825.4578337662,50543.701710666704,
2024-01-08,1004601.7374273409,50095.717895380716,
2024-01-09,1007159.3691436596,50283.8277409554,
2024-01-10,1000979.1185286054,49982.42025241931,
2024-01-11,1004384.9169036952,50144.02463640545,
2024-01-12,1003080.3549656144,50033.182300488785,
2024-01-15,1005259.6736078355,50144.806530667076,
2024-01-16,1010769.3010724661,50465.297888315865,
2024-01-17,995201.8922286864,49672.47945819718,
2024-01-18,1005348.1623774405,50167.921365705304,
2024-01-19,997095.37068503,49743.28681386959,
2024-01-22,974776.5535367465,48687.96737379153,
2024-01-23,984961.0997111253,49145.912622161326,
2024-01-24,995397.9509613137,49703.053249317,
2024-01-25,1008885.8746511854,50315.772636150126,
2024-01-26,1008484.8934782806,78123.22362071674,
2024-01-29,998741.3537416116,79676.64418627019,
2024-01-30,987210.0208867703,74717.01756377981,
2024-01-31,982740.5553012079,90759.52799477172,
2024-02-01,981780.9933144003,111729.11562960927,
2024-02-02,981290.88575241,119750.89544547921,
2024-02-05,986345.7550956279,154783.69901317003,
2024-02-06,1006831.9342600165,176791.79564800672,
2024-02-07,1012688.564910387,439515.45073665644,
2024-02-08,1011467.3226563657,453597.96423983306,
2024-02-19,1026967.606807627,459716.4365039532,
2024-02-20,1030209.8845249821,470962.9563029547,
2024-02-21,1029326.3990653113,469494.2182656203,
2024-02-22,1037589.1021197226,492097.9388000094,
2024-02-23,1037677.3296730041,497598.23063593934,
2024-02-26,1032071.779551725,482142.2003678016,
2024-02-27,1042714.5311940622,492397.5373720312,
2024-02-28,1032258.4753377384,494637.08960775676,
2024-02-29,1049981.4169533807,509101.2824377846,
2024-03-01,1054563.9415682438,538254.613032256,
2024-03-04,1061398.8876481368,532747.9552787622,
2024-03-05,1061633.0944258831,527385.8802172015,
2024-03-06,1062681.658350459,525771.2346826654,
2024-03-07,1058883.8164433562,517138.0770116212,
2024-03-08,1069048.0176167083,487061.57890510594,
2024-03-11,1069624.8773173792,454749.6467636935,
2024-03-12,1057540.9824473923,488849.6161503865,
2024-03-13,1056162.9993870235,485167.75137951813,
2024-03-14,1055481.6073812211,485073.4147704107,
2024-03-15,1060947.9488501374,484589.33379932825,
2024-03-18,1069139.3833782633,454743.77233240474,
2024-03-19,1064064.8364681778,452243.248755398,
2024-03-20,1064425.466909574,454480.12627117924,
2024-03-21,1061243.634980869,447555.1320630503,
2024-03-22,1055257.6714512971,442512.28551331983,
2024-03-25,1052148.8444383387,436029.0641127955,
2024-03-26,1053210.1968172756,429727.97819696326,
2024-03-27,1045417.3646780278,425443.7452299934,
2024-03-28,1051973.2633551336,440306.46010244626,
2024-03-29,1059090.7619741946,436264.63690617203,
2024-04-01,1067553.870589013,437633.4778830836,
2024-04-02,1066310.2702969497,406591.4499225974,
2024-04-03,1064362.9336823684,404581.0752392206,
2024-04-08,1063965.6413897804,382325.34343529755,
2024-04-09,1060225.8301189388,388503.16124170943,
2024-04-10,1057985.356848796,373842.76106341917,
2024-04-11,1061908.3761201766,378317.73581505776,
2024-04-12,1063690.1161903213,353082.4102029995,
2024-04-15,1077385.4773346377,366465.18777349975,
2024-04-16,1061737.7258124743,400725.4653890973,
2024-04-17,1076579.0431083348,416851.6172236511,
2024-04-18,1073766.2401372227,430834.93909784214,
2024-04-19,1071210.6285433096,426448.8206520751,
2024-04-22,1060576.4162987254,425358.95672201033,
2024-04-23,1050532.3211999391,366076.6791830492,
2024-04-24,1059668.1188432258,356403.1587321166,
2024-04-25,1059223.6527446676,354639.37009743694,
2024-04-26,1072413.3529563379,320169.6953250214,
2024-04-29,1076269.8102720184,343466.30023638194,
2024-04-30,1075529.9364026254,333336.8406876709,
2024-05-06,1086926.2665807207,293058.2942179555,
2024-05-07,1086548.8167971203,315300.52686849097,
2024-05-08,1078211.990576263,295315.36851436377,
2024-05-09,1088302.7286508265,205389.7576219748,
2024-05-10,1086981.5677004282,190572.47150018494,
2024-05-13,1086109.484840535,234305.40650444286,
2024-05-14,1088151.62900571,197179.16728242458,
2024-05-15,1079398.4668912133,195171.6468751499,
2024-05-16,1079007.7049585776,0.0,
2024-05-17,1083838.7927440035,54047.84172559412,
2024-05-20,1092619.3849797968,54514.60292101167,
2024-05-21,1087003.9868167655,54269.25113143258,
2024-05-22,1084189.0592471461,54136.859222741856,
2024-05-23,1071860.3128095986,53514.15266645001,
2024-05-24,1059661.7543485975,52904.46406556874,
2024-05-27,1073653.3490459197,53603.29695285615,
2024-05-28,1063946.587815932,53119.22875615368,
2024-05-29,1066227.0174842053,5.820766091346741e-11,
2024-05-30,1057461.659001535,52740.87428391677,
2024-05-31,1052893.5758297313,52559.845253781416,
2024-06-03,1060099.8231535945,52931.47546219462,
2024-06-04,1068745.1170290455,53350.76254051826,
2024-06-05,1061794.7844452364,53027.027959425424,
2024-06-06,1064895.8047180176,53173.504031538614,
2024-06-07,1062669.895537816,53054.501021315824,
2024-06-11,1056657.20039405,52768.36919184649,
2024-06-12,1061317.3983820395,53011.794697752084,
2024-06-13,1061704.2857387378,52997.4065480018,
2024-06-14,1059480.8123929847,52899.3970255287,
2024-06-17,1062950.091811904,53049.831816267135,
2024-06-18,1069220.3299572195,53350.10356909376,
2024-06-19,1064359.5450544471,53123.97154700408,
2024-06-20,1062895.7479644017,53042.16971057645,
2024-06-21,1063040.5458589601,53059.49064244419,
2024-06-24,1052568.0239848564,52566.243475262236,
2024-06-25,1042594.1187831963,52074.846084763456,
2024-06-26,1049526.621561556,52366.39010470158,
2024-06-27,1042772.1304566106,52038.043130662816,
2024-06-28,1056753.765868995,52766.83419519692,
2024-07-01,1066635.0181683083,53219.53953022644,
2024-07-02,1058767.0434579744,555719.5020390196,
2024-07-03,1054788.3370377673,553737.6158165553,
2024-07-04,1054509.9884447646,553593.8349747286,
2024-07-05,1053790.5243031946,553213.3851018398,
2024-07-08,1055556.206120664,554140.181929217,
2024-07-09,1064066.660908339,558612.3289317616,
2024-07-10,1060881.2673569457,556935.556989725,
2024-07-11,1064366.3490916672,558769.7577411982,
2024-07-12,1063433.0600497008,558274.8783572589,
2024-07-15,1064685.6899015452,558919.4067828029,
2024-07-16,1070732.846781721,562121.2015918922,
2024-07-17,1065851.3005683552,559546.493243218,
2024-07-18,1068248.9655036917,560812.9003644645,
2024-07-19,1069256.5092360638,561344.0783813295,
2024-07-22,1067909.395037596,560630.3321459922,
2024-07-23,1055543.7437335153,554123.7456181187,
2024-07-24,1051961.0936473021,52305.279218924465,
