open,high,low,close,volume,eob
1.33609,1.367794,1.313444,1.331561,638194252,2010-10-20 00:00:00+08:00
1.327032,1.327032,1.268153,1.28627,627321283,2010-10-21 00:00:00+08:00
1.281741,1.28627,1.254566,1.272682,406010390,2010-10-22 00:00:00+08:00
1.272682,1.28627,1.250037,1.281741,469943317,2010-10-25 00:00:00+08:00
1.281741,1.28627,1.240979,1.250037,485825149,2010-10-26 00:00:00+08:00
1.245508,1.272682,1.236449,1.250037,459110492,2010-10-27 00:00:00+08:00
1.259095,1.272682,1.245508,1.268153,316519422,2010-10-28 00:00:00+08:00
1.263624,1.268153,1.240979,1.250037,251290867,2010-10-29 00:00:00+08:00
1.245508,1.259095,1.240979,1.259095,355333694,2010-11-01 00:00:00+08:00
1.254566,1.263624,1.23192,1.254566,361303356,2010-11-02 00:00:00+08:00
1.259095,1.28627,1.240979,1.277211,629196329,2010-11-03 00:00:00+08:00
1.277211,1.299857,1.272682,1.28627,434913605,2010-11-04 00:00:00+08:00
1.299857,1.313444,1.290799,1.308915,519955389,2010-11-05 00:00:00+08:00
1.308915,1.317974,1.295328,1.308915,386973118,2010-11-08 00:00:00+08:00
1.308915,1.308915,1.263624,1.281741,449443013,2010-11-09 00:00:00+08:00
1.268153,1.268153,1.245508,1.254566,477843071,2010-11-10 00:00:00+08:00
1.250037,1.281741,1.245508,1.268153,372595022,2010-11-11 00:00:00+08:00
1.254566,1.263624,1.213804,1.23192,537364098,2010-11-12 00:00:00+08:00
1.227391,1.245508,1.213804,1.245508,296372771,2010-11-15 00:00:00+08:00
1.236449,1.236449,1.204746,1.209275,365620457,2010-11-16 00:00:00+08:00
1.200217,1.218333,1.191158,1.209275,184958217,2010-11-17 00:00:00+08:00
1.209275,1.218333,1.204746,1.209275,171457016,2010-11-18 00:00:00+08:00
1.213804,1.218333,1.1821,1.213804,250148497,2010-11-19 00:00:00+08:00
1.200217,1.204746,1.191158,1.200217,159764457,2010-11-22 00:00:00+08:00
1.195687,1.200217,1.173042,1.186629,192567724,2010-11-23 00:00:00+08:00
1.1821,1.204746,1.177571,1.195687,133059571,2010-11-24 00:00:00+08:00
1.195687,1.213804,1.186629,1.204746,168015665,2010-11-25 00:00:00+08:00
1.204746,1.204746,1.186629,1.195687,150307057,2010-11-26 00:00:00+08:00
1.186629,1.200217,1.1821,1.191158,164297355,2010-11-29 00:00:00+08:00
1.186629,1.195687,1.168513,1.1821,200038896,2010-11-30 00:00:00+08:00
1.1821,1.195687,1.173042,1.191158,113611945,2010-12-01 00:00:00+08:00
1.195687,1.218333,1.195687,1.213804,307260528,2010-12-02 00:00:00+08:00
1.213804,1.213804,1.195687,1.204746,138243474,2010-12-03 00:00:00+08:00
1.204746,1.213804,1.195687,1.204746,135901606,2010-12-06 00:00:00+08:00
1.200217,1.213804,1.186629,1.204746,139717206,2010-12-07 00:00:00+08:00
