date,action,code,shares,price
2024-12-06,SELL,601881,1.20164487898478,15.63462
2024-12-06,SELL,688012,0.09446460274688562,215.7345
2024-12-06,SELL,600415,1.6591467913754627,13.9311
2024-12-06,BUY,601865,4.0186756208487395,24.01553
2024-12-06,SELL,600176,4.12899780359038,11.47223
2024-12-06,SELL,002920,25.954923037696798,117.463
2024-12-06,BUY,002736,0.6534860444785977,11.26325
2024-12-06,SELL,002709,1.2166361152727063,22.86291
2024-12-06,SELL,002600,3.496206114688846,8.886543
2024-12-06,SELL,002466,0.937351485134343,37.94
2024-12-06,SELL,002460,0.02089318599728074,40.11204
2024-12-06,BUY,002459,3.3433538124717757,16.32
2024-12-06,SELL,002371,0.06277152303629663,299.7109
2024-12-06,SELL,002311,67.097972261118,44.60764
2024-12-06,SELL,002241,2.0958531339903317,25.40859
2024-12-06,BUY,002230,0.006911921293358603,51.71003
2024-12-06,SELL,002142,0.6526565023247741,24.10674
2024-12-06,BUY,002129,4.756723499885538,10.18
2024-12-06,BUY,002050,0.46092258673182585,24.62887
2024-12-06,SELL,002049,0.2595096282409983,66.0044
2024-12-06,BUY,002027,8.342483784789636,6.742077
2024-12-06,BUY,001979,2.293866491191352,11.12617
2024-12-06,SELL,000977,1.5056957871107528,47.69538
2024-12-06,BUY,000963,0.4662448216592878,36.90279
2024-12-06,SELL,000938,0.7470779610594604,25.16614
2024-12-06,BUY,000858,0.011448980766537886,139.9251
2024-12-06,BUY,000776,0.23933177944684303,16.45989
2024-12-06,SELL,000661,0.26539817133602384,105.7004
2024-12-06,SELL,000617,1.2733865667260034,7.431594
2024-12-06,SELL,000568,0.08572301439965102,131.7141
2024-12-06,BUY,000425,5.857969588564629,7.819073
2024-12-06,BUY,000301,0.5461533761242663,9.45
2024-12-06,SELL,000166,3.4850712125105474,5.448615
2024-12-06,SELL,000063,0.6822147254782607,30.69639
2024-12-06,SELL,300014,1.2257053913345146,48.4001
2024-12-06,SELL,300015,2.7476155170417655,14.57062
2024-12-06,SELL,000002,2.950849700704282,8.68
2024-12-06,SELL,300059,0.3079621093659739,27.75827
2024-12-06,SELL,300896,0.31858309983774546,206.9086
2024-12-06,BUY,300999,0.23712374465534936,34.73554
2024-12-06,BUY,301236,1.10277930623311,59.83736
2024-12-06,BUY,301269,0.39292013922618807,127.3166
2024-12-06,SELL,600010,44.49252157818046,2.05
2024-12-06,BUY,600015,410.2754899051612,7.399209
2024-12-06,BUY,300832,44.93995372918578,67.55045
2024-12-06,SELL,600030,0.07314716003720889,30.7233
2024-12-06,BUY,600048,0.09233462032375428,9.934044
2024-12-06,SELL,600061,1.399886392651979,7.874766
2024-12-06,BUY,600104,6.581963848011696,17.66892
2024-12-06,BUY,600111,0.8253165942015528,23.14128
2024-12-06,BUY,600160,1.2761474111347866,22.02758
2024-12-06,BUY,300033,0.15470730262548926,338.4624
2024-12-06,SELL,600039,1.7118889528487102,7.370803
2024-12-06,SELL,300782,1.0066244430388203,103.152
2024-12-06,SELL,600183,146.5386189148749,22.09815
2024-12-06,SELL,300750,0.3589550657511662,259.135
2024-12-06,SELL,300759,7.235895800726084,29.30966
2024-12-06,SELL,300122,3.4147301115584554,30.09241
2024-12-06,BUY,300124,0.35759274889014137,61.77894
2024-12-06,BUY,300308,0.29298446775124276,130.8499
2024-12-06,SELL,300347,1.907063630895614,66.11464
2024-12-06,BUY,300394,0.14729732724899236,77.01353
2024-12-06,BUY,300316,0.7223385585547817,34.27115
2024-12-06,SELL,300418,0.9410914958150656,48.92
2024-12-06,SELL,300433,3.8569461077962615,21.47915
2024-12-06,BUY,300442,0.8630577333411367,33.65578
2024-12-06,BUY,300502,0.4102320004023312,86.00903
2024-12-06,SELL,300628,84.02228758942591,36.70448
