date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2025-05-28,bear,-0.10087674948088077,0.0,-0.2,0.25,0.2500002783051995,299
2025-05-29,bear,-0.10328978071762668,0.0,-0.2,0.25,0.25000036570036277,299
2025-05-30,neutral,-0.14964398701380202,0.57,0.32,0.65,0.6502221022871906,129
2025-06-03,neutral,-0.14896664614193042,0.57,0.32,0.65,0.6500287742945245,129
2025-06-04,neutral,-0.14987460236104,0.57,0.32,0.65,0.6500287534874051,129
2025-06-05,neutral,-0.15227085391354145,0.57,0.32,0.65,0.6500516586141217,129
2025-06-06,neutral,-0.17943111940993386,0.57,0.32,0.65,0.6500379263253806,129
2025-06-09,neutral,-0.18272671512192076,0.57,0.32,0.65,0.6500353347630897,129
2025-06-10,neutral,-0.18546758147610012,0.57,0.32,0.65,0.6500380531855009,129
2025-06-11,neutral,-0.1858959683336949,0.57,0.32,0.65,0.6500478796132975,129
2025-06-12,neutral,-0.18166463626859108,0.57,0.32,0.65,0.6500416858288957,129
2025-06-13,neutral,-0.18591377093052336,0.57,0.32,0.65,0.6500454551695899,129
2025-06-16,neutral,-0.2640554603671122,0.57,0.32,0.65,0.6500546720227244,129
2025-06-17,neutral,-0.26573575874704475,0.57,0.32,0.65,0.6500382015933824,129
2025-06-18,neutral,-0.26959099277114734,0.57,0.32,0.65,0.650032018622479,129
2025-06-19,neutral,-0.2717874563164421,0.57,0.32,0.65,0.650040996573527,129
2025-06-20,neutral,-0.27542902997333757,0.57,0.32,0.65,0.6500316152101832,129
2025-06-23,bear,-0.30851061749099656,0.0,-0.2,0.25,0.25008566470488935,299
2025-06-24,bear,-0.3135822427901077,0.0,-0.2,0.25,0.25000043751907874,299
2025-06-25,bear,-0.29509579927507523,0.0,-0.2,0.25,0.25000037351502663,299
2025-06-26,neutral,-0.27061741254543653,0.57,0.32,0.65,0.6502223192319916,129
